Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-01-06,67927898,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Negative,,Service,"GE, You are not doing me a favor, I purchased your unit, It dont work.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to ""do me a favor"" and not charge a service call. The most irritating thing was the attitude with the call center. GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to 'do me a favor' and not charge a service call.  The most irritating thing was the attitude with the call center.  GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.",Not verified,,1.0
25-01-05,67829119,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Design,"The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months. The dishwasher is super quiet and versatile. The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them. When I use the recommended settings for drying plastic, everything comes out super dry. It also has built-in water softening feature that works so well my home that have very hard water. It has the sensor to tell you when the salt level and the drying agent are low. The mobile application works very well as well. It allow me to change settings and start the machine remotely. It also tells me where I am at with the washing cycle and how much time is left to completion. I absolutely love this dishwasher!","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months.  The dishwasher is super quiet and versatile.  The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.  When I use the recommended settings for drying plastic, everything comes out super dry.  It also has built-in water softening feature that works so well my home that have very hard water.  It has the sensor to tell you when the salt level and the drying agent are low.  The mobile application works very well as well.  It allow me to change settings and start the machine remotely.  It also tells me where I am at with the washing cycle and how much time is left to completion.  I absolutely love this dishwasher!",Verified,,5.0
25-01-05,67829119,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Easy_Use,"The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months. The dishwasher is super quiet and versatile. The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them. When I use the recommended settings for drying plastic, everything comes out super dry. It also has built-in water softening feature that works so well my home that have very hard water. It has the sensor to tell you when the salt level and the drying agent are low. The mobile application works very well as well. It allow me to change settings and start the machine remotely. It also tells me where I am at with the washing cycle and how much time is left to completion. I absolutely love this dishwasher!","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months.  The dishwasher is super quiet and versatile.  The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.  When I use the recommended settings for drying plastic, everything comes out super dry.  It also has built-in water softening feature that works so well my home that have very hard water.  It has the sensor to tell you when the salt level and the drying agent are low.  The mobile application works very well as well.  It allow me to change settings and start the machine remotely.  It also tells me where I am at with the washing cycle and how much time is left to completion.  I absolutely love this dishwasher!",Verified,,5.0
25-01-05,67829119,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Performance_Drying,"When I use the recommended settings for drying plastic, everything comes out super dry.","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months. The dishwasher is super quiet and versatile. The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them. When I use the recommended settings for drying plastic, everything comes out super dry. It also has built-in water softening feature that works so well my home that have very hard water. It has the sensor to tell you when the salt level and the drying agent are low. The mobile application works very well as well. It allow me to change settings and start the machine remotely. It also tells me where I am at with the washing cycle and how much time is left to completion. I absolutely love this dishwasher!","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months.  The dishwasher is super quiet and versatile.  The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.  When I use the recommended settings for drying plastic, everything comes out super dry.  It also has built-in water softening feature that works so well my home that have very hard water.  It has the sensor to tell you when the salt level and the drying agent are low.  The mobile application works very well as well.  It allow me to change settings and start the machine remotely.  It also tells me where I am at with the washing cycle and how much time is left to completion.  I absolutely love this dishwasher!",Verified,,5.0
25-01-05,67829119,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Performance_Washing,It also has built-in water softening feature that works so well my home that have very hard water.,"[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months. The dishwasher is super quiet and versatile. The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them. When I use the recommended settings for drying plastic, everything comes out super dry. It also has built-in water softening feature that works so well my home that have very hard water. It has the sensor to tell you when the salt level and the drying agent are low. The mobile application works very well as well. It allow me to change settings and start the machine remotely. It also tells me where I am at with the washing cycle and how much time is left to completion. I absolutely love this dishwasher!","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months.  The dishwasher is super quiet and versatile.  The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.  When I use the recommended settings for drying plastic, everything comes out super dry.  It also has built-in water softening feature that works so well my home that have very hard water.  It has the sensor to tell you when the salt level and the drying agent are low.  The mobile application works very well as well.  It allow me to change settings and start the machine remotely.  It also tells me where I am at with the washing cycle and how much time is left to completion.  I absolutely love this dishwasher!",Verified,,5.0
25-01-05,67829119,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,use,Easy_Use,It has the sensor to tell you when the salt level and the drying agent are low.,"[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months. The dishwasher is super quiet and versatile. The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them. When I use the recommended settings for drying plastic, everything comes out super dry. It also has built-in water softening feature that works so well my home that have very hard water. It has the sensor to tell you when the salt level and the drying agent are low. The mobile application works very well as well. It allow me to change settings and start the machine remotely. It also tells me where I am at with the washing cycle and how much time is left to completion. I absolutely love this dishwasher!","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months.  The dishwasher is super quiet and versatile.  The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.  When I use the recommended settings for drying plastic, everything comes out super dry.  It also has built-in water softening feature that works so well my home that have very hard water.  It has the sensor to tell you when the salt level and the drying agent are low.  The mobile application works very well as well.  It allow me to change settings and start the machine remotely.  It also tells me where I am at with the washing cycle and how much time is left to completion.  I absolutely love this dishwasher!",Verified,,5.0
25-01-05,67829119,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Easy_Use,The mobile application works very well as well.,"[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months. The dishwasher is super quiet and versatile. The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them. When I use the recommended settings for drying plastic, everything comes out super dry. It also has built-in water softening feature that works so well my home that have very hard water. It has the sensor to tell you when the salt level and the drying agent are low. The mobile application works very well as well. It allow me to change settings and start the machine remotely. It also tells me where I am at with the washing cycle and how much time is left to completion. I absolutely love this dishwasher!","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months.  The dishwasher is super quiet and versatile.  The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.  When I use the recommended settings for drying plastic, everything comes out super dry.  It also has built-in water softening feature that works so well my home that have very hard water.  It has the sensor to tell you when the salt level and the drying agent are low.  The mobile application works very well as well.  It allow me to change settings and start the machine remotely.  It also tells me where I am at with the washing cycle and how much time is left to completion.  I absolutely love this dishwasher!",Verified,,5.0
25-01-05,67829119,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,use,Easy_Use,It allow me to change settings and start the machine remotely.,"[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months. The dishwasher is super quiet and versatile. The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them. When I use the recommended settings for drying plastic, everything comes out super dry. It also has built-in water softening feature that works so well my home that have very hard water. It has the sensor to tell you when the salt level and the drying agent are low. The mobile application works very well as well. It allow me to change settings and start the machine remotely. It also tells me where I am at with the washing cycle and how much time is left to completion. I absolutely love this dishwasher!","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months.  The dishwasher is super quiet and versatile.  The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.  When I use the recommended settings for drying plastic, everything comes out super dry.  It also has built-in water softening feature that works so well my home that have very hard water.  It has the sensor to tell you when the salt level and the drying agent are low.  The mobile application works very well as well.  It allow me to change settings and start the machine remotely.  It also tells me where I am at with the washing cycle and how much time is left to completion.  I absolutely love this dishwasher!",Verified,,5.0
25-01-05,67829119,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,use,Easy_Use,It also tells me where I am at with the washing cycle and how much time is left to completion.,"[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months. The dishwasher is super quiet and versatile. The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them. When I use the recommended settings for drying plastic, everything comes out super dry. It also has built-in water softening feature that works so well my home that have very hard water. It has the sensor to tell you when the salt level and the drying agent are low. The mobile application works very well as well. It allow me to change settings and start the machine remotely. It also tells me where I am at with the washing cycle and how much time is left to completion. I absolutely love this dishwasher!","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months.  The dishwasher is super quiet and versatile.  The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.  When I use the recommended settings for drying plastic, everything comes out super dry.  It also has built-in water softening feature that works so well my home that have very hard water.  It has the sensor to tell you when the salt level and the drying agent are low.  The mobile application works very well as well.  It allow me to change settings and start the machine remotely.  It also tells me where I am at with the washing cycle and how much time is left to completion.  I absolutely love this dishwasher!",Verified,,5.0
25-01-05,67829119,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Very Positive,use,,I absolutely love this dishwasher!,"[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months. The dishwasher is super quiet and versatile. The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them. When I use the recommended settings for drying plastic, everything comes out super dry. It also has built-in water softening feature that works so well my home that have very hard water. It has the sensor to tell you when the salt level and the drying agent are low. The mobile application works very well as well. It allow me to change settings and start the machine remotely. It also tells me where I am at with the washing cycle and how much time is left to completion. I absolutely love this dishwasher!","[ Excellent Dishwasher! ] || ---------------- || I have this dishwasher for about two months.  The dishwasher is super quiet and versatile.  The capacity is great, it will fit many many plates and I love the top rack for the silverware, I could also put plastic covers and lids in the bottom racks and it won't damage them.  When I use the recommended settings for drying plastic, everything comes out super dry.  It also has built-in water softening feature that works so well my home that have very hard water.  It has the sensor to tell you when the salt level and the drying agent are low.  The mobile application works very well as well.  It allow me to change settings and start the machine remotely.  It also tells me where I am at with the washing cycle and how much time is left to completion.  I absolutely love this dishwasher!",Verified,,5.0
25-01-05,67829122,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,,Durability,I got a Bosch because I had heard nothing but good things about the brand.,"[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.","[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.",Verified,,3.0
25-01-05,67829122,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,,Service,I got a Bosch because I had heard nothing but good things about the brand.,"[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.","[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.",Verified,,3.0
25-01-05,67829122,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Negative,use,Easy_Use,I should have looked at it in person because the racks do not work well with our dishes.,"[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.","[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.",Verified,,3.0
25-01-05,67829122,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Noise_Vibration,"Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes.","[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.","[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.",Verified,,3.0
25-01-05,67829122,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Negative,use,Easy_Use,All of the prongs on the racks are slanted in such a way that they only hold very thin dishes.,"[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.","[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.",Verified,,3.0
25-01-05,67829122,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,use,Design,It may work well for you but check it out in person before you buy!,"[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.","[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.",Verified,,3.0
25-01-05,67829122,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Negative,replace,Durability,I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.,"[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.","[ Not a fan ] || ---------------- || I got a Bosch because I had heard nothing but good things about the brand. I should have looked at it in person because the racks do not work well with our dishes. Pros: Quiet, cleans well, relatively short running time on the normal cycle (a little over 2 hours)Cons: I fit about half of what we could fit in our old Kitchen Aid due to the set-up of the racks; this diswasher is made for very thin dishes- we put large bowls and water bottles in every day and it really is not set up well for these, even if you use the third rack for silverware and the entire bottom for large dishes. All of the prongs on the racks are slanted in such a way that they only hold very thin dishes. It may work well for you but check it out in person before you buy! I would have gotten another Kitchen Aid but it died after 5 years after leaking and destroying the area under a cabinet.",Verified,,3.0
25-01-05,67829123,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,use,Noise_Vibration,"When I first turned it on, I couldn't hear it running-but it was running!","[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn't hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.","[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn’t hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.",Verified,,5.0
25-01-05,67829123,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Very Positive,use,Noise_Vibration,Quietest disherwasher ever!,"[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn't hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.","[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn’t hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.",Verified,,5.0
25-01-05,67829123,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Performance_Washing,Dishes come out sparkling clean.,"[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn't hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.","[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn’t hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.",Verified,,5.0
25-01-05,67829123,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Easy_Use,You can even put plastics on the bottom rack without fear of damage.,"[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn't hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.","[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn’t hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.",Verified,,5.0
25-01-05,67829123,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Easy_Use,"The third top rack is great for spatulas, serving utensils, pancake turners, etc.","[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn't hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.","[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn’t hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.",Verified,,5.0
25-01-05,67829123,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,,Overall I am very happy with my new dishwasher.,"[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn't hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.","[ Very Happy With This Dishwasher ] || ---------------- || When I first turned it on, I couldn’t hear it running-but it was running! Quietest disherwasher ever! Dishes come out sparkling clean. You can even put plastics on the bottom rack without fear of damage. The third top rack is great for spatulas, serving utensils, pancake turners, etc. Overall I am very happy with my new dishwasher.",Verified,,5.0
25-01-05,67829391,dw,top_control,GE,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,,us,retail,geappliances,,Positive,use,,Dishwasher works great.,[ good dishwasher ] || ---------------- || Dishwasher works great. only negative is wish it fit reagular dinner plates,[ good dishwasher ] || ---------------- || Dishwasher works great. only negative is wish  it fit reagular dinner plates,,,4.0
25-01-05,67829391,dw,top_control,GE,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,,us,retail,geappliances,,Negative,use,Design,only negative is wish it fit reagular dinner plates,[ good dishwasher ] || ---------------- || Dishwasher works great. only negative is wish it fit reagular dinner plates,[ good dishwasher ] || ---------------- || Dishwasher works great. only negative is wish  it fit reagular dinner plates,,,4.0
25-01-05,67850562,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,bestbuy,,Positive,use,Easy_Use,What a quiet machine and I love that the buttons for operating it are hidden!,[ Super dishwasher ] || ---------------- || What a quiet machine and I love that the buttons for operating it are hidden!,[ Super dishwasher ] || ---------------- || [This review was collected as part of a promotion.] What a quiet machine and I love that the buttons for operating it are hidden!,Verified,,5.0
